country_name,year,gdp_current_usd,inflation_annual_perc
"Egypt, Arab Rep.",2010,218983666061.706,
"Egypt, Arab Rep.",2011,235989672977.625,10.0649259874818
"Egypt, Arab Rep.",2012,279116666666.667,7.11172943343081
"Egypt, Arab Rep.",2013,288434108527.132,9.46971981064917
"Egypt, Arab Rep.",2014,305595408895.265,10.0702154687481
"Egypt, Arab Rep.",2015,329366576819.407,10.370490343517
"Egypt, Arab Rep.",2016,332441717791.411,13.813606214829
"Egypt, Arab Rep.",2017,248362771739.13,29.5066083940039
"Egypt, Arab Rep.",2018,262588632526.73,14.4014657807422
"Egypt, Arab Rep.",2019,318678815489.749,9.15279959324804
"Egypt, Arab Rep.",2020,383817841547.099,5.04493288977539
"Egypt, Arab Rep.",2021,424671765455.704,5.21404940513041
"Egypt, Arab Rep.",2022,476747720364.742,13.8956609775178
"Egypt, Arab Rep.",2023,395926075163.006,33.8847763115546
Germany,2010,3468154343000.01,1.1038103778926
Germany,2011,3824828563521.41,2.07517283735874
Germany,2012,3597896500945.31,2.00848884782953
Germany,2013,3808086291482.36,1.50472330251882
Germany,2014,3965800686309.79,0.906794000434214
Germany,2015,3423568450957.03,0.514426137125455
Germany,2016,3537784107980.55,0.491747008445213
Germany,2017,3763092263752.95,1.50949485109622
Germany,2018,4052008447223.53,1.73216879766948
Germany,2019,3957208055215.68,1.44565976888253
Germany,2020,3940142541354.1,0.144877925813963
Germany,2021,4348297440387.53,3.0666666666667
Germany,2022,4163596357879.39,6.87257438551096
Germany,2023,4525703903627.53,5.94643667725828
United Kingdom,2010,2485482596184.71,2.49265472467066
United Kingdom,2011,2663805834828.07,3.85611244682819
United Kingdom,2012,2707089726614.64,2.57323479654526
United Kingdom,2013,2784853502534.29,2.29166666666667
United Kingdom,2014,3064708247921.43,1.45112016293279
United Kingdom,2015,2927911140916.73,0.36804684232537
United Kingdom,2016,2689106566899.61,1.00841736811403
United Kingdom,2017,2680148052335.3,2.55775577557753
United Kingdom,2018,2871340347581.79,2.29283990345937
United Kingdom,2019,2851407164907.81,1.73810460086515
United Kingdom,2020,2696778386607.65,0.989486703772449
United Kingdom,2021,3143323050707.26,2.5183710961421
United Kingdom,2022,3114042471144.39,7.92204883147907
United Kingdom,2023,3369861888972.88,6.79396706793964
United States,2010,15048971000000.0,1.6400434423899
United States,2011,15599732000000.0,3.156841568622
United States,2012,16253970000000.0,2.06933726526067
United States,2013,16880683000000.0,1.46483265562717
United States,2014,17608138000000.0,1.62222297740817
United States,2015,18295019000000.0,0.118627135552451
United States,2016,18804913000000.0,1.26158320570536
United States,2017,19612102000000.0,2.13011000365961
United States,2018,20656516000000.0,2.44258329692817
United States,2019,21539982000000.0,1.81221007526021
United States,2020,21354105000000.0,1.23358439630629
United States,2021,23681171000000.0,4.69785886363742
United States,2022,26006893000000.0,8.00279982052121
United States,2023,27720709000000.0,4.11633838374488
